name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Albufeira,2015-07-20,30.8,21.6,26.1,31,21.6,26.6,17,57.9,0,0,0,,0,0,28.8,20.4,268.8,1015.3,0,11.6,347.4,30.2,10,,2015-07-20T06:28:16,2015-07-20T20:50:04,0.14,Clear,Clear conditions throughout the day.,clear-day,"08554099999,LPFR,08533099999"
Albufeira,2015-07-21,30.1,23.2,26.7,30.1,23.2,27.2,17.9,58.8,0,0,0,,0,0,25.2,18.5,262.6,1015.3,0,11.9,332.8,28.9,10,,2015-07-21T06:29:01,2015-07-21T20:49:26,0.18,Clear,Clear conditions throughout the day.,clear-day,"08554099999,LPFR,08533099999"
Albufeira,2015-07-22,35,25,29,33.7,25,29.1,15.8,45.7,0,0,0,,0,0,39.6,28.2,298.1,1015.8,0,11.7,345.6,29.8,10,,2015-07-22T06:29:46,2015-07-22T20:48:45,0.21,Clear,Clear conditions throughout the day.,clear-day,"08554099999,LPFR"
Albufeira,2015-07-23,34.9,22.1,26.9,33,22.1,26.6,12.2,41.4,0,0,0,,0,0,43.2,27.4,282,1015,0,11.8,354.7,30.5,10,,2015-07-23T06:30:31,2015-07-23T20:48:03,0.24,Clear,Clear conditions throughout the day.,clear-day,"08554099999,LPFR"
Albufeira,2015-07-24,31.3,22.1,25.7,31.6,22.1,25.9,15.4,53.6,0,0,0,,0,0,43.2,39.2,296.5,1015.5,8,11.6,344.3,29.5,10,,2015-07-24T06:31:18,2015-07-24T20:47:19,0.25,Clear,Clear conditions throughout the day.,clear-day,"08554099999,LPFR"
Albufeira,2015-07-25,28,18.1,23.3,27.7,18.1,23.2,13.8,57,0,0,0,,0,0,32.4,24.7,286.5,1015.2,0,11.6,352.3,30.3,10,,2015-07-25T06:32:04,2015-07-25T20:46:34,0.31,Clear,Clear conditions throughout the day.,clear-day,"08554099999,LPFR,08533099999"
Albufeira,2015-07-26,25.9,21.3,23.7,25.9,21.3,23.7,12.7,51.2,0,0,0,,0,0,25.2,18.2,231.9,1015.2,0,11.6,347.5,30.1,10,,2015-07-26T06:32:51,2015-07-26T20:45:47,0.34,Clear,Clear conditions throughout the day.,clear-day,"08554099999,LPFR"
Albufeira,2015-07-27,31,22.8,27.6,30.2,22.8,27.6,15.3,48,0,0,0,,0,0,32.4,19.3,256.6,1014,0,11.6,346.6,29.9,10,,2015-07-27T06:33:38,2015-07-27T20:44:59,0.37,Clear,Clear conditions throughout the day.,clear-day,"08554099999,LPFR"
Albufeira,2015-07-28,32.1,22.4,26.5,32,22.4,26.4,13.7,46.1,0,0,0,,0,0,36,17.3,258.2,1012.5,2.1,11.6,342.1,29.3,10,,2015-07-28T06:34:26,2015-07-28T20:44:09,0.4,Clear,Clear conditions throughout the day.,clear-day,"08554099999,LPFR"
Albufeira,2015-07-29,37,24.1,28.3,36.1,24.1,28.2,13.7,42.6,0,0,0,,0,0,46.8,31.2,315.4,1012.7,0,11.6,347.8,30.1,10,,2015-07-29T06:35:14,2015-07-29T20:43:17,0.44,Clear,Clear conditions throughout the day.,clear-day,"08554099999,LPFR,08533099999"
Albufeira,2015-07-30,28.2,22,24.3,29.5,22,24.4,18,67.9,0,0,0,,0,0,43.2,34.7,278.4,1012.7,14.7,11.4,339.3,29.2,10,,2015-07-30T06:36:02,2015-07-30T20:42:25,0.47,Clear,Clear conditions throughout the day.,clear-day,"08554099999,LPFR"
Albufeira,2015-07-31,26.9,19.3,22.3,27,19.3,22.3,17,73.2,0,0,0,,0,0,57.6,41,273.8,1010.7,22.6,11.5,338.9,29.1,10,,2015-07-31T06:36:51,2015-07-31T20:41:30,0.5,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"08554099999,LPFR"
Albufeira,2015-08-01,25.1,18.4,21.9,25.1,18.4,21.9,14.7,64,0,0,0,,0,0,28.8,23.7,271.4,1012.7,0,11.6,343.8,29.8,10,,2015-08-01T06:37:39,2015-08-01T20:40:34,0.54,Clear,Clear conditions throughout the day.,clear-day,"08554099999,LPFR"
Albufeira,2015-08-02,31,20.7,26.3,32.5,20.7,27.3,17.8,59.8,0,0,0,,0,0,36,22,104.2,1013.5,10.4,11.4,315,26.9,9,,2015-08-02T06:38:28,2015-08-02T20:39:37,0.57,Clear,Clear conditions throughout the day.,clear-day,"08554099999,LPFR"
Albufeira,2015-08-03,26.9,18.9,23.2,28.9,18.9,23.4,20.6,85.5,0,0,0,,0,0,46.8,29.9,103.8,1015.2,69.1,7.8,317.6,27.3,9,,2015-08-03T06:39:18,2015-08-03T20:38:38,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08554099999,LPFR"
Albufeira,2015-08-04,26.3,18,22.1,26.3,18,22.1,17.8,79.3,0,0,0,,0,0,32.4,26.5,263,1016.4,37.9,8.4,336.3,28.9,10,,2015-08-04T06:40:07,2015-08-04T20:37:38,0.64,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"08554099999,LPFR"
